SampleID,NN_ADE,NN_FDE,NN_MaxPos,NN_MAE_v,NN_MAE_w,NN_MAE_theta,Kin_ADE,Kin_FDE,Kin_MaxPos,Kin_MAE_v,Kin_MAE_w,Kin_MAE_theta,Imp_ADE,Imp_FDE,Imp_MaxPos,Imp_MAE_v,Imp_MAE_w,Imp_MAE_theta
35,0.16256629463284644,0.21966234695797937,0.2401074552298101,0.030502633228723687,0.02474408657009153,0.028166176712123753,0.1837238804629705,0.37184579606155427,0.37184579606155427,0.04560891249217875,0.05515490805455141,0.08081537142769182,11.51596938667337,40.92649445427182,35.4282184246979,33.12133185820987,55.13710847705848,65.14750076063814
135,0.15402834663851098,0.28899549413308184,0.28899549413308184,0.05579054098983666,0.023835487674402762,0.1122799670471396,0.29072547653266806,0.3761248953705818,0.458241251972418,0.21713301516641242,0.030083955396842242,0.09802265332181509,47.01931579044012,23.165018404765423,36.93376733562242,74.30582311626891,20.77010034091245,-14.544917161665454
235,0.1080504453970254,0.15217566407787642,0.16003700293250891,0.06905722762931157,0.030857601516438665,0.03496444012571214,0.13600409635288266,0.31411171305678537,0.31411171305678537,0.06333169409632496,0.06256183559877806,0.08049574916721325,20.553536037125973,51.553648669457296,49.05092797237482,-9.040550098467778,50.67663660904258,56.563619212884454
335,0.07689943455763076,0.13313643165746403,0.14322381173380194,0.027842573901153387,0.02594941181729638,0.03303867958614708,0.10693984423432136,0.27865449621190164,0.27865449621190164,0.05028623256797579,0.06595281032717612,0.12440775577939386,28.090942054177226,52.22168187940488,48.60165054545253,44.63181574893998,60.65457758575026,73.44323159021296
435,0.0918064931024103,0.17199395356781796,0.17720331365688483,0.01541182223555648,0.017814292829743516,0.026580336347185488,0.1330809314469374,0.234826565354663,0.24311919848612631,0.028510265584058173,0.03993125194631132,0.03582261474674263,31.014539720879704,26.757028827614864,27.11257903106447,45.94290189925776,55.38759252102757,25.800122254888013
535,0.06263731668556322,0.15307801519769085,0.15307801519769085,0.031049311896543662,0.03348924229681623,0.014843087515059583,0.0917247882504088,0.21554196153305374,0.21554196153305374,0.03646925831991346,0.0327361050377305,0.03218580668465413,31.711680255327217,28.979947055823718,28.979947055823718,14.861685356541301,-2.300631850422297,53.883127241497355
635,0.1235590108264724,0.24031824841186478,0.24031824841186478,0.03479784289559424,0.03867613186310508,0.06204359162094265,0.17694664891399364,0.3240868647087604,0.3240868647087604,0.03647227060659134,0.03418076494973557,0.1237414846623388,30.171601674960648,25.84758144152927,25.84758144152927,4.590960977062105,-13.151744614200888,49.860314194350494
735,0.06266332552848171,0.09439277739348502,0.15618472477345505,0.05360043268057371,0.03228277772029383,0.026834666816858418,0.06792212444566263,0.12000820975111354,0.1937018744336382,0.08858305322984074,0.030357330136996527,0.028171413537734436,7.742394632234946,21.344733340121206,19.368501089562994,39.491323987783396,-6.342611733667439,4.74504667323669
835,0.09261672233240849,0.1137194540239305,0.1562619037753804,0.022219071550263696,0.02167200585006216,0.026923893367186435,0.1032254903864946,0.16256223984492182,0.17857297143478718,0.07390863944085237,0.0656677521888231,0.07079776266131933,10.27727552018886,30.04559107181685,12.494089939895813,69.93711192851116,66.99749096368367,61.97070026635683
935,0.2253245240321014,0.4622643661261163,0.4622643661261163,0.0909493266245237,0.05481225762470172,0.04584393299236596,0.6898307810463284,0.896434183576052,0.9320710940301288,0.297143948191649,0.06738172362348868,0.1479563021609154,67.33626126535968,48.43298319101878,50.404602279064584,69.39216592563275,18.654117649203855,69.01522116813472
1035,0.22173551361003516,0.4432691980703937,0.4432691980703937,0.06500745091030564,0.031902768421703094,0.049946762661579755,0.21597112453076325,0.4510379320199133,0.4510379320199133,0.08459265628124489,0.0343585879422293,0.08605400072025371,-2.669055454425258,1.7224125506979782,1.7224125506979782,23.152370704407705,7.14761481075832,41.958813949919865
1135,0.09836897236912283,0.15534243918125462,0.23104228582502678,0.018146554668672273,0.020734315609004263,0.06472575105493882,0.10521266421236236,0.26196298680247865,0.26196298680247865,0.027414195354151443,0.06063792226134529,0.13496654553361898,6.504627455708328,40.700615351288704,11.803461761858069,33.805991989751156,65.80635543605734,52.04311498154467
1235,0.06775185290487559,0.08755382669911566,0.11560981264651098,0.04658740366414408,0.03316499371994849,0.03302436784859749,0.09471002810852949,0.18577340694683586,0.2018188700794338,0.05275433103976948,0.04961779660543049,0.1000342714264323,28.46390793249704,52.87063517967802,42.71605395421738,11.689897784840433,33.15907599911701,66.98694619585007
1335,0.10087029119488118,0.22235027448444114,0.22235027448444114,0.03233484854856312,0.02794279803831404,0.05255038379220789,0.14725457715798826,0.3487087732305345,0.3487087732305345,0.03756009050908154,0.03409070934973441,0.10334933783715107,31.499384846517707,36.2361111753723,36.2361111753723,13.911686286418892,18.03397884259122,49.152665230412765
