================================================================
                VEHICLE DYNAMICS PREDICTION REPORT              
================================================================

1. OVERALL PERFORMANCE SUMMARY (Average over all samples)
---------------------------------------------------------------------------
Metric          | Kinematic    | NeuralNet    | Improvement
---------------------------------------------------------------------------
ADE             | 0.1967       | 0.1076       | +29.87%
FDE             | 0.3997       | 0.1959       | +33.29%
MAE_v           | 0.1217       | 0.0409       | +40.94%
MAE_w           | 0.0442       | 0.0289       | +26.78%
MAE_theta       | 0.0810       | 0.0578       | +25.17%
---------------------------------------------------------------------------

Note: 
  ADE = 平均位移误差,计算预测轨迹上这几十个点与真值点的平均欧氏距离。
  FDE = 终点位移误差,最后一步的位置误差
  MAE = 平均绝对误差

2. DETAILED SAMPLE LOGS
----------------------------------------------------------------------------------------------------------------------------------------------------------------
SampleID    NN_ADE      Kin_ADE     Imp_ADE     NN_FDE      Kin_FDE     Imp_FDE     NN_MAE_v    Kin_MAE_v   Imp_MAE_v   NN_MAE_w    Kin_MAE_w   Imp_MAE_w   
----------------------------------------------------------------------------------------------------------------------------------------------------------------
55.0000     0.1264      0.1519      16.7916     0.2203      0.2910      24.3033     0.0286      0.0496      42.2107     0.0229      0.0652      64.8255     
155.0000    0.1289      0.3659      64.7739     0.2089      0.5204      59.8648     0.0484      0.1436      66.3239     0.0228      0.0570      60.0168     
255.0000    0.2061      0.1729      -19.1934    0.3586      0.3207      -11.8220    0.0291      0.0404      27.9136     0.0216      0.0609      64.5290     
355.0000    0.0693      0.0614      -12.7959    0.1252      0.1265      1.0192      0.0393      0.0356      -10.3848    0.0230      0.0524      56.2079     
455.0000    0.0631      0.0981      35.6360     0.1553      0.2372      34.5390     0.0241      0.0330      27.0458     0.0189      0.0354      46.4832     
555.0000    0.1150      0.1265      9.1186      0.2310      0.2648      12.7657     0.0272      0.0390      30.2062     0.0302      0.0267      -12.9184    
655.0000    0.1226      0.1131      -8.4567     0.2452      0.2238      -9.5544     0.0163      0.0228      28.6577     0.0279      0.0255      -9.2569     
755.0000    0.0940      0.0800      -17.5285    0.1527      0.1541      0.8873      0.0574      0.0878      34.5729     0.0338      0.0355      4.8896      
855.0000    0.1554      0.2809      44.6851     0.2384      0.8388      71.5846     0.0643      0.2826      77.2461     0.0459      0.0704      34.7345     
955.0000    0.1160      0.2019      42.5555     0.2127      0.4650      54.2553     0.0500      0.0529      5.3817      0.0404      0.0721      44.0068     
1055.0000   0.1606      0.1988      19.1844     0.2654      0.3473      23.5887     0.0296      0.0738      59.8853     0.0268      0.0507      47.1992     
1155.0000   0.1007      0.1441      30.1333     0.1337      0.2742      51.2382     0.0398      0.0333      -19.4879    0.0229      0.0666      65.6752     
1255.0000   0.0535      0.0597      10.3884     0.0740      0.1053      29.7454     0.0309      0.0430      28.0438     0.0244      0.0286      14.6162     
1355.0000   0.0796      0.1171      32.0165     0.2195      0.2819      22.1181     0.0342      0.0412      16.8759     0.0221      0.0210      -5.3553     
1455.0000   0.0565      0.1734      67.3972     0.1293      0.4037      67.9815     0.0380      0.1334      71.5067     0.0297      0.0353      15.8229     
1555.0000   0.1345      0.3721      63.8446     0.2713      0.6806      60.1342     0.0524      0.2055      74.5266     0.0345      0.0404      14.5615     
1655.0000   0.0990      0.1640      39.6170     0.1370      0.6793      79.8313     0.0430      0.2577      83.3029     0.0335      0.0538      37.7945     
1755.0000   0.0791      0.2390      66.9061     0.1084      0.1904      43.0373     0.0409      0.3160      87.0469     0.0261      0.0349      25.3493     
1855.0000   0.0989      0.3053      67.6145     0.2481      0.5676      56.2874     0.0411      0.1546      73.4374     0.0205      0.0673      69.6106     
1955.0000   0.1046      0.1423      26.5415     0.2427      0.3662      33.7248     0.0397      0.0507      21.6874     0.0286      0.0573      50.0285     
2055.0000   0.1417      0.1236      -14.6158    0.2935      0.1898      -54.6377    0.0254      0.0659      61.3973     0.0183      0.0185      0.7633      
2155.0000   0.0934      0.1609      41.9298     0.1636      0.3616      54.7393     0.0493      0.1168      57.8473     0.0223      0.0277      19.4210     
2255.0000   0.1539      0.1540      0.0683      0.3078      0.3261      5.6175      0.0510      0.0288      -76.8999    0.0228      0.0233      2.1269      
2355.0000   0.0541      0.1722      68.5758     0.0250      0.6049      95.8752     0.0526      0.1956      73.0916     0.0347      0.0378      8.3089      
2455.0000   0.0720      0.0678      -6.2074     0.1413      0.1444      2.1136      0.0342      0.0713      51.9975     0.0291      0.0250      -16.5232    
2555.0000   0.0918      0.1455      36.9268     0.1657      0.3229      48.6826     0.0445      0.0371      -20.0713    0.0331      0.0553      40.0761     
2655.0000   0.0934      0.3813      75.5133     0.1983      0.7189      72.4098     0.0573      0.2814      79.6403     0.0288      0.0414      30.5253     
2755.0000   0.0984      0.1253      21.5093     0.1297      0.0907      -42.9799    0.0439      0.1775      75.2810     0.0431      0.0590      26.9722     
2855.0000   0.1526      0.8755      82.5667     0.2675      1.6062      83.3450     0.0540      0.5329      89.8613     0.0408      0.0346      -17.6494    
2955.0000   0.1136      0.1269      10.4953     0.2063      0.2865      27.9748     0.0412      0.0458      9.9394      0.0375      0.0472      20.5245     
----------------------------------------------------------------------------------------------------------------------------------------------------------------
