SampleID,NN_ADE,NN_FDE,NN_MaxPos,NN_MAE_v,NN_MAE_w,NN_MAE_theta,Kin_ADE,Kin_FDE,Kin_MaxPos,Kin_MAE_v,Kin_MAE_w,Kin_MAE_theta,Imp_ADE,Imp_FDE,Imp_MaxPos,Imp_MAE_v,Imp_MAE_w,Imp_MAE_theta
55,0.1263619347720143,0.2202602779304118,0.2444287530476788,0.028643582623546587,0.02293102904281477,0.014373112249006675,0.15186198881473004,0.2909774595579884,0.3099277004637187,0.049565575032085245,0.06519210442849357,0.032966325502639136,16.791597582608723,24.30331948563992,21.133621589176876,42.21073274141426,64.82545049919835,56.40062387949173
155,0.128895670343641,0.20886857982572696,0.23605201695335365,0.04836502488959702,0.022796064038138813,0.04000968295381217,0.365909504985986,0.5204120066543441,0.5750371056573408,0.14361813351122865,0.05701416749147159,0.08569754544616513,64.77389393080195,59.86476538684921,58.95012432571354,66.3238731021277,60.016843109129425,53.312918420812764
255,0.2060836577031214,0.35863043930359645,0.35863043930359645,0.02913932852145564,0.021601746115043043,0.05229849894550838,0.1728985351568173,0.3207154874534014,0.3207154874534014,0.04042276455154476,0.060899791415774535,0.06230108791492921,-19.193408733165676,-11.821989686638984,-11.821989686638984,27.913568394613726,64.52903103138107,16.055239650195432
355,0.06925394592400813,0.12519081465204115,0.12519081465204115,0.03934417703396991,0.02295321497899068,0.016560500966103123,0.06139757319919108,0.12647995737035472,0.12647995737035472,0.03564274462012574,0.052414085533130914,0.05642816749538322,-12.795901068155837,1.0192466420104336,1.0192466420104336,-10.384813103742161,56.20792627492859,70.65206668733651
455,0.06314963114321032,0.1552796921842312,0.1552796921842312,0.02405248833951424,0.01893724350900277,0.06280691451238413,0.09811326913704398,0.23720944569125918,0.23720944569125918,0.03296930730091404,0.03538562215532738,0.09273243968719924,35.635993277317745,34.5389928585154,34.5389928585154,27.04581834254246,46.48322579753843,32.270826989733585
555,0.11498187178801622,0.23096610307437906,0.23096610307437906,0.027229006892811214,0.03019003728447626,0.03878044785694122,0.1265186137976275,0.2647653160186042,0.2647653160186042,0.03901349432243129,0.02673616543179464,0.030219175618652904,9.118612402808047,12.765725304386235,12.765725304386235,30.20618284592991,-12.918351591938748,-28.330594938545705
655,0.12263063838019879,0.24521984105731404,0.24521984105731404,0.01626584381762055,0.027913269421362526,0.06175181929155395,0.11306875626696536,0.22383387865222237,0.22727634404096125,0.02279970967676068,0.025548287810889143,0.04134593142297813,-8.456696994753333,-9.554390306714783,-7.895013047692674,28.65767131149033,-9.256908439341224,-49.35404081194598
755,0.09399206066302543,0.15270477707405616,0.18886473922625585,0.057414370621858474,0.03376697107342251,0.06686125422719486,0.07997381478109972,0.15407177973120065,0.22280236279151064,0.08775313705046799,0.03550291944020889,0.06465753091770729,-17.52854471216078,0.8872505137082258,15.232165018380991,34.57285682124536,4.889593290236094,-3.4083010566740457
855,0.15540709202794858,0.23835953855638314,0.2836391290883369,0.06431269508563753,0.0459171894717274,0.11056051854991802,0.2809497499239854,0.8388378478306997,0.8388378478306997,0.28264423275730294,0.07035448442487878,0.1710597699196967,44.685093305832815,71.58455127259703,66.18665576167673,77.24606143269138,34.73452353878647,35.36731716532754
955,0.11600473447579746,0.2126970059745238,0.2126970059745238,0.05003440135347727,0.040396311051355514,0.03315907478139045,0.20194228435769385,0.46496525950636286,0.46496525950636286,0.0528802756672582,0.07214504953786943,0.1581501662657021,42.555500525921545,54.25529077154352,54.25529077154352,5.381731236970472,44.00681500654981,79.03317109026547
1055,0.1606238490601398,0.2653649695092394,0.3173487661074981,0.02962446205464994,0.02675149811717477,0.03854236103764907,0.19875358750160765,0.34728502231897945,0.361067280381299,0.07384935933540356,0.05066493629212583,0.06487561962710436,19.18442777349085,23.58870885439365,12.10813514523738,59.88528225396818,47.19918729803595,40.590377002663004
1155,0.10067165521569171,0.1337258658699354,0.19339648845530014,0.039760411375517106,0.022858720137263054,0.028117829361461948,0.14409100096561078,0.2742429096989876,0.2742429096989876,0.033275666639076,0.06659531196828461,0.10463418820547496,30.133280676065027,51.238168375359436,29.479858324295606,-19.487948376144605,65.67518123775844,73.12749318010124
1255,0.053461928065018045,0.0739592570086862,0.10508147033141273,0.030915681892035224,0.02444854401900323,0.06089860222966582,0.05965959773059031,0.1052731566654958,0.11255719613474463,0.042964601618034115,0.028633718468899234,0.05978274222279224,10.388386615611434,29.745379210304428,6.641712889136428,28.043829739460296,14.616245020505353,-1.8665252970750335
1355,0.07959649932616107,0.21952248597586427,0.23621936095308446,0.03424756790817887,0.022107636590869957,0.01968644991537894,0.1170821282210809,0.28186587310925537,0.30227401046438973,0.041200510626868254,0.02098388845598558,0.019786369355340765,32.01652503628684,22.118104063355652,21.85257323639044,16.875865402879576,-5.35529026110427,0.5049912804485979
1455,0.05652936027759537,0.12927300745777487,0.16904629953170214,0.03799670314530468,0.029715415048531302,0.025464932368949533,0.17338784082595327,0.40374493393798633,0.45816261847323503,0.13335317995327806,0.035301079309068034,0.03471172134322574,67.39716002672901,67.98151590488298,63.10342818996756,71.50671385667945,15.822927711736856,26.638808495968725
1555,0.13454683941850476,0.27133201939581814,0.27133201939581814,0.052351179289312925,0.03449855313640045,0.021325760574067647,0.37213472908721845,0.6806139283702609,0.6806139283702609,0.2055134553830821,0.040378228071930984,0.04401260922808777,63.84458936457646,60.13422469247342,60.13422469247342,74.52664148353252,14.561498154540878,51.54624788648506
1655,0.09902393499953076,0.13699960272012357,0.18424913353390038,0.043035590206745696,0.033454226016350966,0.040321688915605565,0.1639930918660858,0.6792677723838292,0.6792677723838292,0.25774351700750125,0.053780166320249706,0.06982288766952024,39.617008330819104,79.83128181698717,72.87533119857952,83.30293979596267,37.79449134251834,42.25147331853023
1755,0.07907928862460586,0.1084289002139096,0.16995178434540684,0.040935591470095546,0.026084264803687796,0.11233740311568777,0.23895431360723154,0.19035053740188404,0.5206071043045839,0.3160300655839394,0.03494177654438456,0.08662147562063718,66.90610542624971,43.037250278424274,67.3550777659047,87.04693131191252,25.349345730734573,-29.68770424516282
1855,0.09886991888988099,0.2481187826604455,0.2481187826604455,0.04106999304219604,0.020464549349142165,0.036189326963932116,0.30529024924141307,0.567613621724924,0.567613621724924,0.15461558210516907,0.0673410611774173,0.08123297290783335,67.61445243156192,56.287380506049864,56.287380506049864,73.43735186130182,69.61059271812469,55.44995379524962
1955,0.10456204268511918,0.24270467990642183,0.24270467990642183,0.039678045099836905,0.028635494825175294,0.051963562616417706,0.1423416746721113,0.36620757591120956,0.36620757591120956,0.050666251003635455,0.05730369654067096,0.12003104526910822,26.541511524308497,33.72483370871938,33.72483370871938,21.687426415287987,50.0285382028515,56.708231191425526
2055,0.14166802927210048,0.2934925561996606,0.34653558816103086,0.025429713209885834,0.018342215843736347,0.08726447764965557,0.12360256778825414,0.18979367074131454,0.25550957357356047,0.06587544653318064,0.01848329820856271,0.09108197203893681,-14.615765519365764,-54.63769421462206,-35.62528531294514,61.3972814634703,0.7632964811496976,4.191273315480355
2155,0.09341496210199027,0.16364946158529786,0.16364946158529786,0.04925362996086331,0.02228101959653217,0.14597687011410865,0.1608655404460758,0.36157060819760356,0.36157060819760356,0.11684580342576815,0.02765116228897679,0.15619349000081698,41.92978692456252,54.73927972158039,54.73927972158039,57.84732654762905,19.421037843987637,6.541002372541192
2255,0.15386768696133452,0.3077723545623243,0.33644789098834427,0.05100145765328791,0.022764813334029615,0.14747127148658315,0.1539729019353573,0.3260903924185955,0.3520703852052471,0.02883068925508148,0.023259512360726174,0.15957624761624334,0.06833343575413293,5.617472419351959,4.437321306589119,-76.89989025946987,2.1268675758304445,7.585700447582161
2355,0.05411717359055877,0.02495194798022339,0.0983245179294883,0.05263097436031729,0.03469052141197269,0.08426894251452388,0.17221517897784258,0.60492252614961,0.6579633027559482,0.19559324039326373,0.03783411493515144,0.0837207457233799,68.57583988138377,95.87518287026853,85.05623071717743,73.0916189871918,8.308886116582729,-0.6547920547139785
2455,0.0719604544308692,0.1413441713828278,0.17744662682385445,0.03423036380129144,0.029088901517247415,0.14847134627029265,0.067754626570911,0.14439612069946234,0.18435774088147114,0.0713094940976463,0.024964050877426733,0.13504392385466707,-6.2074401008711035,2.1135950895707922,3.7487517608821417,51.99746648823683,-16.523162286736483,-9.943003751931885
2555,0.0917706411780962,0.16568330274410772,0.16568330274410772,0.04453624390884854,0.03313545148505486,0.06808305934017471,0.14549854204380236,0.3228600360576287,0.3228600360576287,0.03709150235701475,0.055295903254483914,0.1478483069122428,36.92676236544787,48.682622734225866,48.682622734225866,-20.071286086436565,40.07611860039934,53.950734531856185
2655,0.0933622149947483,0.19833961817475124,0.20961133498693432,0.05729177393600411,0.0287567121860576,0.029662507547066688,0.38127684847872373,0.7188766700643896,0.8102840186598927,0.2813981179412537,0.04139160519608079,0.038390770959008017,75.51327457534886,72.4097850947109,74.13112807857115,79.64031374653165,30.52525494038955,22.73531683242565
