# v_mps,w_radps,dt_s,cmd_v,cmd_w
0.518,-0.007,0.019997358322143555,0.0,1.0
0.52,-0.006,0.019998550415039062,0.0,1.0
0.522,-0.012,0.01999950408935547,0.0,1.0
0.522,-0.012,0.020001649856567383,0.0,1.0
0.503,0.535,0.019998788833618164,0.5,-1.0
0.477,0.545,0.02000117301940918,0.5,-1.0
0.512,0.502,0.019999980926513672,0.5,-1.0
0.544,0.397,0.01999950408935547,0.5,-1.0
0.483,-0.548,0.019999980926513672,0.5,0.0
0.451,-0.598,0.020000934600830078,0.5,0.0
0.463,-0.526,0.02000117301940918,0.5,0.0
0.463,-0.526,0.019999027252197266,0.5,0.0
0.5,0.007,0.019999265670776367,0.55,0.0
0.493,0.0,0.019997119903564453,0.55,0.0
0.49,-0.006,0.02000260353088379,0.55,0.0
0.49,-0.006,0.019997596740722656,0.55,0.0
0.529,0.0,0.019995689392089844,0.55,0.0
0.537,0.006,0.019999027252197266,0.55,0.0
0.537,0.006,0.01999950408935547,0.55,0.0
0.53,0.01,0.020002365112304688,0.55,0.0
0.539,-0.004,0.02000260353088379,0.0,-1.1
0.539,-0.001,0.019999027252197266,0.0,-1.1
0.539,0.002,0.020000219345092773,0.0,-1.1
0.532,-0.018,0.019999265670776367,0.0,-1.1
0.603,-0.435,0.020000934600830078,0.55,1.1
0.518,-0.562,0.020000696182250977,0.55,1.1
0.471,-0.602,0.019999980926513672,0.55,1.1
0.533,-0.52,0.019998788833618164,0.55,1.1
0.491,0.589,0.019999980926513672,0.55,0.0
0.573,0.447,0.020000219345092773,0.55,0.0
0.574,0.446,0.02000284194946289,0.55,0.0
0.574,0.446,0.019998550415039062,0.55,0.0
0.529,0.016,0.020000219345092773,0.55,-1.1
0.523,0.011,0.01999950408935547,0.55,-1.1
0.523,0.011,0.020001649856567383,0.55,-1.1
0.517,-0.007,0.019999265670776367,0.55,-1.1
0.582,-0.469,0.019999027252197266,0.55,0.0
0.587,-0.453,0.02000260353088379,0.55,0.0
0.499,-0.548,0.019996166229248047,0.55,0.0
0.499,-0.548,0.02000141143798828,0.55,0.0
0.483,-0.079,0.020000696182250977,0.55,-1.1
0.504,-0.057,0.020002365112304688,0.55,-1.1
0.496,-0.078,0.019999265670776367,0.55,-1.1
0.594,0.059,0.01999807357788086,0.55,-1.1
0.58,-0.441,0.02000260353088379,0.55,0.0
0.491,-0.601,0.02000260353088379,0.55,0.0
0.491,-0.601,0.019994735717773438,0.55,0.0
0.526,-0.53,0.01999807357788086,0.55,0.0
0.515,-0.045,0.019999027252197266,0.55,1.1
0.515,-0.045,0.019999980926513672,0.55,1.1
0.539,0.008,0.02000117301940918,0.55,1.1
0.539,0.008,0.01999831199645996,0.55,1.1
