# v_mps,w_radps,dt_s,cmd_v,cmd_w
0.062,0.008,0.019993066787719727,0.1393641334328901,0.005416863315068045
0.081,0.013,0.02000737190246582,0.1393641334328901,0.005416863315068045
0.081,0.013,0.019994258880615234,0.1393641334328901,0.005416863315068045
0.11,0.018,0.01999521255493164,0.19443993155084685,0.0010114529256466023
0.114,0.03,0.02000737190246582,0.19443993155084685,0.0010114529256466023
0.114,0.025,0.01999664306640625,0.19443993155084685,0.0010114529256466023
0.131,0.019,0.01999497413635254,0.19443993155084685,0.0010114529256466023
0.142,0.02,0.01999950408935547,0.19443993155084685,0.0010114529256466023
0.154,0.01,0.04001164436340332,0.22317523129440084,0.00032261152073286144
0.168,0.008,0.01999807357788086,0.22317523129440084,0.00032261152073286144
0.176,-0.003,0.01999521255493164,0.22317523129440084,0.00032261152073286144
0.187,0.003,0.019997119903564453,0.22317523129440084,0.00032261152073286144
0.187,0.003,0.01999974250793457,0.2713458784115677,0.005043577718379927
0.193,-0.002,0.020004749298095703,0.2713458784115677,0.005043577718379927
0.203,-0.009,0.020002365112304688,0.2713458784115677,0.005043577718379927
0.218,-0.005,0.019991159439086914,0.2713458784115677,0.005043577718379927
0.218,-0.005,0.020004749298095703,0.2713458784115677,0.005043577718379927
0.246,-0.001,0.01999950408935547,0.3142429799445581,0.001553067394598164
0.251,-0.008,0.020015954971313477,0.3142429799445581,0.001553067394598164
0.264,-0.007,0.0199887752532959,0.3142429799445581,0.001553067394598164
0.282,-0.011,0.019948959350585938,0.3142429799445581,0.001553067394598164
0.282,-0.011,0.020046234130859375,0.3142429799445581,0.001553067394598164
0.292,-0.008,0.04001355171203613,0.35614395479157934,0.007432844831920661
0.298,-0.003,0.019988298416137695,0.35614395479157934,0.007432844831920661
0.3,-0.006,0.019995689392089844,0.35614395479157934,0.007432844831920661
0.311,-0.004,0.02000260353088379,0.35614395479157934,0.007432844831920661
0.323,0.003,0.019998788833618164,0.35614395479157934,0.007432844831920661
0.326,0.005,0.020003080368041992,0.3961452907631756,0.003914888336686126
0.33,0.003,0.020001888275146484,0.3961452907631756,0.003914888336686126
0.33,0.003,0.020003795623779297,0.3961452907631756,0.003914888336686126
0.346,-0.008,0.019997119903564453,0.3961452907631756,0.003914888336686126
0.346,-0.008,0.01999497413635254,0.3961452907631756,0.003914888336686126
0.362,0.004,0.01999974250793457,0.41299661529945975,0.006022531383900376
0.364,0.007,0.020002365112304688,0.41299661529945975,0.006022531383900376
0.364,0.007,0.019998788833618164,0.41299661529945975,0.006022531383900376
0.381,0.008,0.019995450973510742,0.41299661529945975,0.006022531383900376
0.381,0.008,0.0200042724609375,0.41299661529945975,0.006022531383900376
0.391,0.015,0.02000141143798828,0.44345977241485657,0.006792075113683587
0.392,0.012,0.020005464553833008,0.44345977241485657,0.006792075113683587
0.395,0.015,0.01999068260192871,0.44345977241485657,0.006792075113683587
0.41,0.006,0.020000219345092773,0.44345977241485657,0.006792075113683587
0.421,-0.003,0.02000260353088379,0.44345977241485657,0.006792075113683587
0.421,-0.003,0.020013093948364258,0.48344459389969824,0.008880380219779653
0.429,0.002,0.019995689392089844,0.48344459389969824,0.008880380219779653
0.432,0.0,0.01999521255493164,0.48344459389969824,0.008880380219779653
0.443,0.001,0.01999378204345703,0.48344459389969824,0.008880380219779653
0.451,0.009,0.019997119903564453,0.5024334818435562,0.006325852418282556
0.456,0.01,0.02000570297241211,0.5024334818435562,0.006325852418282556
0.473,0.012,0.01999497413635254,0.5024334818435562,0.006325852418282556
0.48,0.0,0.020001888275146484,0.5024334818435562,0.006325852418282556
0.49,0.001,0.02000117301940918,0.5024334818435562,0.006325852418282556
0.494,0.003,0.02000260353088379,0.5384616013271138,0.011380832437408627
0.494,0.003,0.020026206970214844,0.5384616013271138,0.011380832437408627
0.498,-0.005,0.019971847534179688,0.5384616013271138,0.011380832437408627
0.505,0.003,0.019999980926513672,0.5384616013271138,0.011380832437408627
0.505,0.005,0.020000219345092773,0.5384616013271138,0.011380832437408627
0.511,0.011,0.019996166229248047,0.5663109878514995,0.007273546921051789
0.516,0.013,0.02000117301940918,0.5663109878514995,0.007273546921051789
0.522,0.003,0.020001888275146484,0.5663109878514995,0.007273546921051789
0.535,0.003,0.020002126693725586,0.5663109878514995,0.007273546921051789
0.537,0.003,0.019997835159301758,0.5663109878514995,0.007273546921051789
0.537,0.003,0.019997596740722656,0.5932833857562286,0.01466543529029931
0.549,0.009,0.019999980926513672,0.5932833857562286,0.01466543529029931
0.548,0.012,0.02000880241394043,0.5932833857562286,0.01466543529029931
0.556,0.005,0.01999640464782715,0.5932833857562286,0.01466543529029931
0.572,0.007,0.01999640464782715,0.5932833857562286,0.01466543529029931
0.58,0.004,0.04000449180603027,0.6043844561476206,0.013275138935879446
0.582,0.008,0.019997835159301758,0.6043844561476206,0.013275138935879446
0.582,0.008,0.019995927810668945,0.6043844561476206,0.013275138935879446
0.585,0.011,0.02000141143798828,0.6043844561476206,0.013275138935879446
0.592,0.01,0.019997835159301758,0.6043844561476206,0.013275138935879446
0.592,0.01,0.020011425018310547,0.6369296950116965,0.014701794728925273
0.598,0.007,0.019996166229248047,0.6369296950116965,0.014701794728925273
0.603,0.006,0.01999378204345703,0.6369296950116965,0.014701794728925273
0.609,0.007,0.02000117301940918,0.6369296950116965,0.014701794728925273
0.606,0.01,0.020006656646728516,0.6369296950116965,0.014701794728925273
0.619,0.015,0.020002365112304688,0.6524916228767383,0.015682731431037572
0.622,0.014,0.01999044418334961,0.6524916228767383,0.015682731431037572
0.622,0.013,0.01998114585876465,0.6524916228767383,0.015682731431037572
0.632,0.011,0.020043611526489258,0.6524916228767383,0.015682731431037572
0.626,0.012,0.019982576370239258,0.6700681867787798,0.020447816147036113
0.633,0.012,0.020002365112304688,0.6700681867787798,0.020447816147036113
0.636,0.008,0.020030975341796875,0.6700681867787798,0.020447816147036113
0.636,0.008,0.019962072372436523,0.6700681867787798,0.020447816147036113
0.651,0.001,0.019997596740722656,0.6700681867787798,0.020447816147036113
0.653,0.009,0.01999974250793457,0.6824773844997739,0.020495562975630138
0.658,0.014,0.020002126693725586,0.6824773844997739,0.020495562975630138
0.66,0.011,0.020002126693725586,0.6824773844997739,0.020495562975630138
0.666,0.008,0.019997835159301758,0.6824773844997739,0.020495562975630138
0.67,0.009,0.020002126693725586,0.6824773844997739,0.020495562975630138
0.674,0.006,0.01999378204345703,0.7076947371561053,0.019565200378882822
0.675,0.003,0.020003557205200195,0.7076947371561053,0.019565200378882822
0.675,0.003,0.01999807357788086,0.7076947371561053,0.019565200378882822
0.677,0.004,0.01995849609375,0.7076947371561053,0.019565200378882822
0.684,0.01,0.020041704177856445,0.7076947371561053,0.019565200378882822
0.691,0.005,0.019998550415039062,0.7159564386147725,0.02199134041220133
0.692,0.004,0.02001047134399414,0.7159564386147725,0.02199134041220133
0.703,0.006,0.019999265670776367,0.7159564386147725,0.02199134041220133
0.702,0.01,0.019992828369140625,0.7159564386147725,0.02199134041220133
0.707,0.013,0.019997596740722656,0.7159564386147725,0.02199134041220133
0.707,0.013,0.02000117301940918,0.7440182916574506,0.023842940970500246
0.71,0.01,0.020015716552734375,0.7440182916574506,0.023842940970500246
0.706,0.01,0.0199887752532959,0.7440182916574506,0.023842940970500246
0.711,0.018,0.019995927810668945,0.7440182916574506,0.023842940970500246
0.711,0.018,0.020005226135253906,0.7440182916574506,0.023842940970500246
0.721,0.017,0.019994258880615234,0.7470336767475138,0.02167604886569926
0.729,0.02,0.020004987716674805,0.7470336767475138,0.02167604886569926
0.733,0.013,0.01999497413635254,0.7470336767475138,0.02167604886569926
0.733,0.013,0.021283626556396484,0.7470336767475138,0.02167604886569926
0.732,0.016,0.01872730255126953,0.7470336767475138,0.02167604886569926
0.731,0.009,0.03998899459838867,0.7668441360232097,0.02525808644228245
0.731,0.009,0.019979476928710938,0.7668441360232097,0.02525808644228245
0.732,0.016,0.020021915435791016,0.7668441360232097,0.02525808644228245
0.732,0.016,0.01999807357788086,0.7668441360232097,0.02525808644228245
0.738,0.004,0.019998788833618164,0.7668441360232097,0.02525808644228245
0.738,0.004,0.02000284194946289,0.7662700013961978,0.026483134641434775
0.757,0.019,0.020009279251098633,0.7662700013961978,0.026483134641434775
0.755,0.019,0.019990205764770508,0.7662700013961978,0.026483134641434775
0.758,0.017,0.019998550415039062,0.7662700013961978,0.026483134641434775
0.757,0.016,0.020000219345092773,0.7662700013961978,0.026483134641434775
0.761,0.016,0.02000880241394043,0.7862806812353277,0.02538120774342585
0.762,0.018,0.019992589950561523,0.7862806812353277,0.02538120774342585
0.766,0.02,0.01999974250793457,0.7862806812353277,0.02538120774342585
0.773,0.023,0.019999027252197266,0.7862806812353277,0.02538120774342585
0.773,0.023,0.01999974250793457,0.793632849567687,0.029567817412429014
0.778,0.013,0.020009756088256836,0.793632849567687,0.029567817412429014
0.781,0.016,0.019999980926513672,0.793632849567687,0.029567817412429014
0.781,0.016,0.019994735717773438,0.793632849567687,0.029567817412429014
0.781,0.02,0.019995689392089844,0.793632849567687,0.029567817412429014
0.782,0.021,0.04000401496887207,0.8105417226280853,0.030523571572724235
0.783,0.026,0.020001888275146484,0.8105417226280853,0.030523571572724235
0.783,0.026,0.019995689392089844,0.8105417226280853,0.030523571572724235
0.789,0.03,0.020002365112304688,0.8105417226280853,0.030523571572724235
0.793,0.019,0.01999664306640625,0.8120049641858841,0.028958742246058423
0.796,0.033,0.020009517669677734,0.8120049641858841,0.028958742246058423
0.803,0.025,0.02000284194946289,0.8120049641858841,0.028958742246058423
0.806,0.027,0.019995689392089844,0.8120049641858841,0.028958742246058423
0.806,0.027,0.019998788833618164,0.8120049641858841,0.028958742246058423
0.806,0.024,0.019994735717773438,0.8304819170385805,0.03281061825463395
0.812,0.025,0.020002126693725586,0.8304819170385805,0.03281061825463395
0.81,0.026,0.01999831199645996,0.8304819170385805,0.03281061825463395
0.818,0.03,0.020003318786621094,0.8304819170385805,0.03281061825463395
0.813,0.022,0.019999027252197266,0.8304819170385805,0.03281061825463395
0.817,0.029,0.01999664306640625,0.8367237938440285,0.031531640728981965
0.817,0.029,0.02000570297241211,0.8367237938440285,0.031531640728981965
0.817,0.029,0.019997835159301758,0.8367237938440285,0.031531640728981965
0.823,0.022,0.020006179809570312,0.8367237938440285,0.031531640728981965
0.823,0.023,0.019992828369140625,0.8367237938440285,0.031531640728981965
0.824,0.03,0.039997100830078125,0.8477308461957858,0.02995498306659434
0.823,0.024,0.020008563995361328,0.8477308461957858,0.02995498306659434
0.822,0.029,0.019990921020507812,0.8477308461957858,0.02995498306659434
0.822,0.029,0.019999265670776367,0.8477308461957858,0.02995498306659434
0.828,0.023,0.019999980926513672,0.8477308461957858,0.02995498306659434
0.833,0.034,0.0200042724609375,0.8486638725524294,0.03144958702484318
0.835,0.022,0.020006418228149414,0.8486638725524294,0.03144958702484318
0.835,0.022,0.019997358322143555,0.8486638725524294,0.03144958702484318
0.839,0.025,0.019997119903564453,0.8486638725524294,0.03144958702484318
0.839,0.025,0.020003318786621094,0.8486638725524294,0.03144958702484318
0.842,0.028,0.020005226135253906,0.8593020334979623,0.03162293132738489
0.842,0.028,0.019989013671875,0.8593020334979623,0.03162293132738489
0.84,0.029,0.020000219345092773,0.8593020334979623,0.03162293132738489
0.848,0.037,0.020002126693725586,0.8593020334979623,0.03162293132738489
0.85,0.036,0.020000457763671875,0.8593020334979623,0.03162293132738489
0.852,0.033,0.020009517669677734,0.8641682193878361,0.033360324741838865
0.857,0.026,0.019986629486083984,0.8641682193878361,0.033360324741838865
0.857,0.035,0.020000219345092773,0.8641682193878361,0.033360324741838865
0.857,0.029,0.02000141143798828,0.8641682193878361,0.033360324741838865
0.862,0.042,0.01999640464782715,0.8641682193878361,0.033360324741838865
0.86,0.029,0.02001357078552246,0.8798286646454943,0.034069505962580425
0.857,0.032,0.01999044418334961,0.8798286646454943,0.034069505962580425
0.863,0.024,0.019997119903564453,0.8798286646454943,0.034069505962580425
0.863,0.024,0.019998788833618164,0.8798286646454943,0.034069505962580425
0.861,0.028,0.01999831199645996,0.8801944675868345,0.03480593832434869
0.871,0.02,0.0200045108795166,0.8801944675868345,0.03480593832434869
0.87,0.026,0.019999265670776367,0.8801944675868345,0.03480593832434869
0.869,0.026,0.02000880241394043,0.8801944675868345,0.03480593832434869
0.863,0.033,0.019997835159301758,0.8801944675868345,0.03480593832434869
0.871,0.029,0.019994020462036133,0.8911218161119576,0.03555621175457199
0.874,0.031,0.020004987716674805,0.8911218161119576,0.03555621175457199
0.868,0.029,0.020000457763671875,0.8911218161119576,0.03555621175457199
0.872,0.023,0.01999378204345703,0.8911218161119576,0.03555621175457199
0.872,0.027,0.019998550415039062,0.8911218161119576,0.03555621175457199
0.877,0.027,0.020000219345092773,0.8910756730894192,0.03773698866314049
0.874,0.02,0.020020008087158203,0.8910756730894192,0.03773698866314049
0.874,0.02,0.019995450973510742,0.8910756730894192,0.03773698866314049
0.874,0.027,0.019985675811767578,0.8910756730894192,0.03773698866314049
0.887,0.026,0.020000696182250977,0.8910756730894192,0.03773698866314049
0.884,0.025,0.04000091552734375,0.9081648938388043,0.037233560007950216
0.888,0.033,0.020009279251098633,0.9081648938388043,0.037233560007950216
0.89,0.029,0.019990921020507812,0.9081648938388043,0.037233560007950216
0.893,0.032,0.019998550415039062,0.9081648938388043,0.037233560007950216
0.893,0.032,0.019999265670776367,0.9117104799193005,0.038769793899160264
0.893,0.029,0.020014286041259766,0.9117104799193005,0.038769793899160264
0.896,0.037,0.019997358322143555,0.9117104799193005,0.038769793899160264
0.896,0.032,0.019992828369140625,0.9117104799193005,0.038769793899160264
0.895,0.038,0.020004987716674805,0.9117104799193005,0.038769793899160264
0.899,0.03,0.03999972343444824,0.9191735196282729,0.039837214887839194
0.903,0.036,0.01999378204345703,0.9191735196282729,0.039837214887839194
0.9,0.025,0.020000696182250977,0.9191735196282729,0.039837214887839194
0.91,0.039,0.0200042724609375,0.9191735196282729,0.039837214887839194
0.91,0.039,0.019993066787719727,0.9260235207147658,0.039587347996512263
0.905,0.038,0.020000696182250977,0.9260235207147658,0.039587347996512263
0.909,0.026,0.02000904083251953,0.9260235207147658,0.039587347996512263
0.909,0.026,0.019999027252197266,0.9260235207147658,0.039587347996512263
0.912,0.029,0.019992351531982422,0.9260235207147658,0.039587347996512263
0.912,0.033,0.019997835159301758,0.9314682456347054,0.039663438583930434
0.912,0.033,0.020003557205200195,0.9314682456347054,0.039663438583930434
0.914,0.029,0.02000713348388672,0.9314682456347054,0.039663438583930434
0.922,0.018,0.019991159439086914,0.9314682456347054,0.039663438583930434
0.92,0.023,0.02000117301940918,0.9314682456347054,0.039663438583930434
0.925,0.02,0.040015459060668945,0.938240694891962,0.039163809335261805
0.933,0.028,0.019984006881713867,0.938240694891962,0.039163809335261805
0.933,0.028,0.01999664306640625,0.938240694891962,0.039163809335261805
0.94,0.021,0.0200042724609375,0.938240694891962,0.039163809335261805
0.931,0.024,0.020006418228149414,0.938240694891962,0.039163809335261805
0.939,0.021,0.019996166229248047,0.9598235998564649,0.03662156327818583
0.938,0.02,0.01999497413635254,0.9598235998564649,0.03662156327818583
0.943,0.026,0.020000696182250977,0.9598235998564649,0.03662156327818583
0.948,0.029,0.0200040340423584,0.9598235998564649,0.03662156327818583
0.948,0.029,0.0200040340423584,0.9638922700092963,0.03516822333322187
0.952,0.036,0.019995927810668945,0.9638922700092963,0.03516822333322187
0.941,0.037,0.019997596740722656,0.9638922700092963,0.03516822333322187
0.942,0.037,0.020000696182250977,0.9638922700092963,0.03516822333322187
0.948,0.031,0.01999688148498535,0.9638922700092963,0.03516822333322187
0.954,0.03,0.04000401496887207,0.9632284037303795,0.033126636768288746
0.954,0.03,0.020003557205200195,0.9632284037303795,0.033126636768288746
0.957,0.02,0.019992589950561523,0.9632284037303795,0.033126636768288746
0.954,0.044,0.019997835159301758,0.9632284037303795,0.033126636768288746
0.957,0.021,0.019998550415039062,0.9632284037303795,0.033126636768288746
0.957,0.021,0.020006656646728516,0.9767363846949757,0.031127212439324148
0.957,0.021,0.019997358322143555,0.9767363846949757,0.031127212439324148
0.966,0.023,0.020005226135253906,0.9767363846949757,0.031127212439324148
