SampleID,NN_ADE,NN_FDE,NN_MaxPos,NN_MAE_v,NN_MAE_w,NN_MAE_theta,Kin_ADE,Kin_FDE,Kin_MaxPos,Kin_MAE_v,Kin_MAE_w,Kin_MAE_theta,Imp_ADE,Imp_FDE,Imp_MaxPos,Imp_MAE_v,Imp_MAE_w,Imp_MAE_theta
35,0.18013067283651174,0.2932220858919759,0.3020691022585442,0.02246326412473752,0.02352182082127815,0.01692361203808107,0.1837238804629705,0.37184579606155427,0.37184579606155427,0.04560891249217875,0.05515490805455141,0.08081537142769182,1.9557651500742013,21.144170783246725,18.764954328395692,50.74808212410319,57.353168283747834,79.05891943685096
135,0.13835538988492443,0.2418182838347185,0.2418182838347185,0.0348888780476031,0.018753724971168468,0.09927108617774714,0.29072547653266806,0.3761248953705818,0.458241251972418,0.21713301516641242,0.030083955396842242,0.09802265332181509,52.4102973241226,35.70798242523564,47.22904522588163,83.93202525149664,37.66203704338376,-1.2736166729065825
235,0.10205526472804155,0.20371767383802428,0.22551828735579693,0.05240068520288296,0.03733143054693214,0.03558224462432901,0.13600409635288266,0.31411171305678537,0.31411171305678537,0.06333169409632496,0.06256183559877806,0.08049574916721325,24.961624344575522,35.14483371042071,28.204432378162362,17.259934460013604,40.32874804641877,55.79611968028987
335,0.10087679668102617,0.18024010186848127,0.18363235169460482,0.02479260871235337,0.02971905716165302,0.020274551511725615,0.10693984423432136,0.27865449621190164,0.27865449621190164,0.05028623256797579,0.06595281032717612,0.12440775577939386,5.669587043730993,35.317712680502225,34.100344982424986,50.69702491862105,54.93890705456844,83.70314504533184
435,0.13174936105287194,0.25539773193648185,0.2587653984061193,0.025902107382460595,0.026765861818647894,0.0574392095002766,0.1330809314469374,0.234826565354663,0.24311919848612631,0.028510265584058173,0.03993125194631132,0.03582261474674263,1.0005718922972677,-8.76015307329042,-6.435608548160719,9.148137164516482,32.970141144997555,-60.343430836520895
535,0.08809423746330995,0.2027513506606092,0.2027513506606092,0.03102265236924911,0.029304225198303606,0.017280872174447827,0.0917247882504088,0.21554196153305374,0.21554196153305374,0.03646925831991346,0.0327361050377305,0.03218580668465413,3.9580912165067588,5.934162787361977,5.934162787361977,14.934786726085726,10.483470270734497,46.30902887176298
635,0.1418825024405547,0.2622248824477996,0.2622248824477996,0.029121883093381772,0.030051322777496826,0.0831576486617752,0.17694664891399364,0.3240868647087604,0.3240868647087604,0.03647227060659134,0.03418076494973557,0.1237414846623388,19.81622522305136,19.088086867251732,19.088086867251732,20.153358677595445,12.081187118870172,32.79727579744761
735,0.06557191566965691,0.10455810187479275,0.18564914071464833,0.04572327478240605,0.03367653206946742,0.027125039123516766,0.06792212444566263,0.12000820975111354,0.1937018744336382,0.08858305322984074,0.030357330136996527,0.028171413537734436,3.4601520420432084,12.874209113162296,4.157282288844717,48.3837222637034,-10.933774207059718,3.714312783120005
835,0.12035603821356147,0.14699484659838366,0.18800911822464214,0.03191481712037029,0.035108615848371744,0.036989558580829945,0.1032254903864946,0.16256223984492182,0.17857297143478718,0.07390863944085237,0.0656677521888231,0.07079776266131933,-16.59526902020717,9.576266457320509,-5.284196546676684,56.81855685368002,46.535986571583365,47.753209719663424
935,0.20361593739888492,0.4278093096111015,0.4278093096111015,0.066394164096847,0.027325989733342004,0.06760189219333,0.6898307810463284,0.896434183576052,0.9320710940301288,0.297143948191649,0.06738172362348868,0.1479563021609154,70.48320501296821,52.2765510899544,54.10121477307903,77.65589220278358,59.44599178549893,54.309555452523384
