# diff_v,diff_w,# v_mps,w_radps,dt_s,cmd_v,cmd_w,a_v,a_w,err_v,err_w,v_x_w
0.046613349946541344,-0.058850767696714545,0.10973926089703095,-0.1607333713751058,0.05,1.0,-0.262250976696632,0.9322669989308269,-1.177015353934291,0.8902607391029691,-0.1015176053215262,-0.0176387613761921
0.05494470162026141,-0.048917503082271496,0.16468396251729236,-0.2096508744573773,0.05,1.0,-0.2575298165829384,1.098894032405228,-0.9783500616454299,0.8353160374827077,-0.0478789421255611,-0.034526136750856286
0.059480662439520465,-0.018836756146528022,0.22416462495681283,-0.2284876306039053,0.05,1.0,-0.2575298165829384,1.1896132487904092,-0.37673512293056044,0.7758353750431872,-0.029042185979033075,-0.051218844021595225
0.0530124472118188,-0.01152165693926488,0.27717707216863163,-0.2400092875431702,0.05,1.0,-0.24470154865114158,1.060248944236376,-0.2304331387852976,0.7228229278313684,-0.004692261107971385,-0.06652507161449514
0.036079385869031366,-0.00020732953037866375,0.313256458037663,-0.24021661707354885,0.05,1.0,-0.2563019825491081,0.7215877173806273,-0.004146590607573275,0.686743541962337,-0.01608536547555922,-0.07524940662624952
0.040788557694602434,-0.006523621770844756,0.35404501573226543,-0.2467402388443936,0.05,1.0,-0.2563936589357624,0.8157711538920487,-0.13047243541689513,0.6459549842677346,-0.00965342009136877,-0.08735715174344627
0.03647815713608099,-0.006215124257797078,0.3905231728683464,-0.2529553631021907,0.05,1.0,-0.2563936589357624,0.7295631427216198,-0.12430248515594156,0.6094768271316535,-0.0034382958335716918,-0.09878493099273215
0.05940578391257756,0.012118768467317353,0.449928956780924,-0.24083659463487334,0.05,1.0,-0.21346144847113643,1.1881156782515512,0.24237536934634707,0.5500710432190761,0.027375146163736902,-0.10835935777873884
0.055516466006180154,0.01826646544992483,0.5054454227871041,-0.2225701291849485,0.05,1.0,-0.21535814190036703,1.110329320123603,0.3653293089984966,0.49455457721289586,0.0072119872845814725,-0.11249705304566668
0.061084029034989884,0.030440372786460057,0.566529451822094,-0.19212975639848845,0.05,1.0,-0.22183075341288064,1.2216805806997977,0.6088074557292011,0.433470548177906,-0.02970099701439219,-0.10884716557114812
