# diff_v,diff_w,# v_mps,w_radps,dt_s,cmd_v,cmd_w,a_v,a_w,err_v,err_w,v_x_w
0.048047592474399825,-0.03583336831557325,0.13377177553939684,-0.15535479347955655,0.05,0.7536477600147801,-0.17623905534780634,0.9609518494879965,-0.716667366311465,0.6198759844753832,-0.020884261868249793,-0.02078208656231659
0.050670509242227685,-0.00896549053960044,0.18444228478162453,-0.164320284019157,0.05,0.9039297406638076,-0.17431182952047544,1.0134101848445536,-0.1793098107920088,0.7194874558821831,-0.00999154550131845,-0.03030760862045878
0.047929819580619454,0.0024225707081696746,0.23237210436224398,-0.16189771331098732,0.05,0.9039297406638076,-0.17431182952047544,0.9585963916123891,0.04845141416339349,0.6715576363015636,-0.012414116209488124,-0.0376205123335094
0.04457239968477056,0.009454100322395242,0.27694450404701454,-0.15244361298859208,0.05,0.9021018924754187,-0.15162777553223067,0.8914479936954112,0.18908200644790485,0.6251573884284042,0.0008158374563614068,-0.04221842079426066
0.041855069799689504,0.007193925898354853,0.31879957384670404,-0.14524968709023722,0.05,0.8874489660278502,-0.1615199374700983,0.8371013959937901,0.14387851796709705,0.5686493921811462,-0.016270250379861073,-0.04630553834573474
0.052122277115121074,0.0003354940573574994,0.3709218509618251,-0.14491419303287972,0.05,0.948746278061138,-0.16604517918455974,1.0424455423024215,0.0067098811471499875,0.5778244270993129,-0.02113098615168002,-0.05375184071039497
0.05217504408121154,-1.504017739017982e-06,0.42309689504303666,-0.14491569705061874,0.05,0.948746278061138,-0.16604517918455974,1.0435008816242308,-3.008035478035964e-05,0.5256493830181013,-0.021129482133941002,-0.061313381465114135
0.05006025607676684,-0.006240622266289214,0.4731571511198035,-0.15115631931690796,0.05,0.8630426431388312,-0.172142446265409,1.0012051215353368,-0.12481244532578428,0.38988549201902767,-0.02098612694850105,-0.07152069342174348
0.04693407448202791,-0.009563708345279504,0.5200912256018314,-0.16072002766218746,0.05,0.6232775892286594,-0.20264169215544794,0.9386814896405582,-0.19127416690559007,0.10318636362682798,-0.041921664493260485,-0.08358907616558732
0.047678342155177966,-0.015515411256370598,0.5677695677570094,-0.17623543891855806,0.05,0.7267091106155986,-0.19900642576600744,0.9535668431035593,-0.31030822512741196,0.15893954285858924,-0.02277098684744938,-0.10006111897825654
0.040970529792629495,-0.008693584333652749,0.6087400975496389,-0.1849290232522108,0.05,0.7267091106155986,-0.19900642576600744,0.8194105958525899,-0.17387168667305497,0.11796901306595975,-0.014077402513796633,-0.11257371165431024
