#v_mps,w_radps,dt_s,cmd_v,cmd_w
0.262,0.0,9.5367431640625e-06,0.55,0.0
0.338,0.006,9.5367431640625e-06,0.55,0.0
0.338,0.006,0.04398632049560547,0.55,0.0
0.4,0.007,8.106231689453125e-06,0.55,0.0
0.433,0.007,0.044005393981933594,0.55,0.0
0.465,-0.003,8.106231689453125e-06,0.55,0.0
0.465,-0.003,0.043970584869384766,0.55,0.0
0.495,-0.009,8.106231689453125e-06,0.55,0.0
0.528,-0.003,0.04400777816772461,0.55,0.0
0.528,-0.003,6.9141387939453125e-06,0.55,0.0
0.585,0.0,9.775161743164062e-06,0.55,0.0
0.594,0.006,0.04397273063659668,0.55,0.0
0.599,0.008,9.298324584960938e-06,0.55,0.0
0.599,0.008,0.014236927032470703,0.55,0.0
0.599,0.0,0.020006179809570312,0.55,0.0
0.586,0.0,0.04175758361816406,0.55,0.0
0.586,0.0,1.1444091796875e-05,0.55,0.0
0.567,0.007,0.04401516914367676,0.55,0.0
0.549,0.007,1.1205673217773438e-05,0.55,0.0
0.549,0.007,0.04396224021911621,0.55,0.0
0.541,0.002,8.821487426757812e-06,0.55,0.0
0.537,-0.002,0.04398751258850098,0.55,0.0
0.541,-0.002,8.821487426757812e-06,0.55,0.0
0.538,0.002,0.043999671936035156,0.55,0.0
0.537,0.001,8.821487426757812e-06,0.55,0.0
0.543,-0.002,0.043988943099975586,0.55,0.0
0.543,-0.002,8.106231689453125e-06,0.55,0.0
0.538,0.002,1.4543533325195312e-05,0.55,0.0
0.536,0.002,0.043984413146972656,0.55,0.0
0.547,-0.001,1.4781951904296875e-05,0.55,0.0
0.541,0.0,0.014193296432495117,0.55,0.0
0.538,-0.003,0.019966602325439453,0.55,0.0
0.538,-0.003,0.04182744026184082,0.55,0.0
0.54,0.0,1.0728836059570312e-05,0.55,0.0
0.537,0.005,0.043974876403808594,0.0,1.1
0.541,0.0,9.5367431640625e-06,0.0,1.1
0.541,0.0,0.043985843658447266,0.0,1.1
0.535,0.002,6.4373016357421875e-06,0.0,1.1
0.543,-0.003,0.04401135444641113,0.0,1.1
0.526,0.015,1.0967254638671875e-05,0.0,1.1
0.468,0.012,9.298324584960938e-06,0.0,-1.1
0.484,0.006,7.3909759521484375e-06,0.0,-1.1
0.507,0.0,0.0439305305480957,0.0,-1.1
0.516,0.003,5.9604644775390625e-06,0.0,-1.1
0.518,-0.002,0.014204978942871094,0.0,-1.1
0.522,-0.013,0.01999831199645996,0.0,-1.1
0.383,-0.225,0.17378807067871094,0.55,0.0
0.343,-0.272,5.9604644775390625e-06,0.55,0.0
0.343,-0.272,0.048033714294433594,0.55,0.0
0.285,-0.345,7.62939453125e-06,0.55,0.0
0.262,-0.38,8.106231689453125e-06,0.55,0.0
0.281,-0.344,0.0439753532409668,0.55,0.0
0.281,-0.344,1.3828277587890625e-05,0.55,0.0
0.528,-0.008,9.298324584960938e-06,0.55,0.0
0.527,-0.003,0.04796171188354492,0.55,0.0
0.545,-0.006,5.0067901611328125e-06,0.55,0.0
0.554,-0.012,0.04799675941467285,0.55,0.0
0.554,-0.012,7.867813110351562e-06,0.55,0.0
0.574,-0.024,0.04398345947265625,0.55,0.0
0.57,-0.026,8.821487426757812e-06,0.55,0.0
0.569,-0.03,5.4836273193359375e-06,0.55,0.0
0.57,-0.041,0.04798173904418945,0.55,0.0
0.568,-0.041,8.821487426757812e-06,0.55,0.0
0.567,-0.038,0.010198831558227539,0.55,0.0
0.567,-0.038,0.019997596740722656,0.55,0.0
0.557,-0.03,0.04180645942687988,0.55,0.0
0.557,-0.03,8.344650268554688e-06,0.55,0.0
0.556,-0.027,0.0440068244934082,0.55,0.0
0.556,-0.027,8.106231689453125e-06,0.55,0.0
0.547,-0.009,0.04398632049560547,0.55,0.0
0.55,-0.012,1.1205673217773438e-05,0.55,0.0
0.544,-0.008,0.047966718673706055,0.55,0.0
0.542,-0.002,8.58306884765625e-06,0.55,0.0
0.544,-0.003,0.043999671936035156,0.55,0.0
0.544,-0.003,8.821487426757812e-06,0.55,0.0
0.539,0.006,4.76837158203125e-06,0.55,0.0
0.539,0.006,0.04400324821472168,0.55,0.0
0.539,0.0,1.1205673217773438e-05,0.55,0.0
0.537,0.002,0.01417994499206543,0.55,0.0
0.541,0.0,0.020022869110107422,0.55,0.0
0.548,-0.01,6.4373016357421875e-06,0.55,-1.1
0.545,-0.008,0.04399585723876953,0.55,-1.1
0.548,-0.016,9.775161743164062e-06,0.55,-1.1
0.498,-0.572,8.58306884765625e-06,0.55,1.1
0.582,-0.472,9.298324584960938e-06,0.55,1.1
0.582,-0.472,0.04400277137756348,0.55,1.1
0.51,-0.564,9.059906005859375e-06,0.55,1.1
0.501,-0.549,0.014316082000732422,0.55,1.1
0.525,-0.522,0.019875288009643555,0.55,1.1
0.536,0.531,7.867813110351562e-06,0.0,-1.1
0.536,0.531,0.04400825500488281,0.0,-1.1
0.536,0.531,7.152557373046875e-06,0.0,-1.1
-0.544,-0.53,8.344650268554688e-06,-0.55,0.0
-0.55,-0.534,5.0067901611328125e-06,-0.55,0.0
-0.55,-0.534,0.0439910888671875,-0.55,0.0
