#v_mps,w_radps,dt_s,cmd_v,cmd_w
0.512,-0.005,9.059906005859375e-06,0.0,1.0
0.518,-0.007,9.059906005859375e-06,0.0,1.0
0.518,-0.007,9.5367431640625e-06,0.0,1.0
0.52,-0.006,0.043993234634399414,0.0,1.0
0.522,-0.012,1.1682510375976562e-05,0.0,1.0
0.522,-0.012,0.012426614761352539,0.0,1.0
0.465,0.562,1.0013580322265625e-05,0.5,-1.0
0.487,0.551,8.344650268554688e-06,0.5,-1.0
0.503,0.535,0.043988704681396484,0.5,-1.0
0.503,0.535,8.344650268554688e-06,0.5,-1.0
0.477,0.545,0.012434244155883789,0.5,-1.0
0.512,0.502,0.020035982131958008,0.5,-1.0
0.483,-0.548,1.8835067749023438e-05,0.5,0.0
0.451,-0.598,0.012392520904541016,0.5,0.0
0.463,-0.526,0.019963741302490234,0.5,0.0
0.5,0.007,0.04348301887512207,0.55,0.0
0.493,0.0,7.152557373046875e-06,0.55,0.0
0.535,0.0,6.198883056640625e-06,0.55,0.0
0.531,0.0,0.048029184341430664,0.55,0.0
0.529,0.0,1.1205673217773438e-05,0.55,0.0
0.537,0.006,0.04394650459289551,0.55,0.0
0.537,0.006,5.9604644775390625e-06,0.55,0.0
0.539,-0.004,6.67572021484375e-06,0.0,-1.1
0.539,-0.004,4.5299530029296875e-06,0.0,-1.1
0.539,-0.001,0.04400467872619629,0.0,-1.1
0.539,0.002,1.049041748046875e-05,0.0,-1.1
0.532,-0.018,0.012421607971191406,0.0,-1.1
0.519,-0.543,7.867813110351562e-06,0.55,1.1
0.603,-0.435,3.337860107421875e-06,0.55,1.1
0.603,-0.435,0.04401564598083496,0.55,1.1
0.518,-0.562,9.059906005859375e-06,0.55,1.1
0.471,-0.602,0.008443832397460938,0.55,1.1
0.533,-0.52,0.019976139068603516,0.55,1.1
0.491,0.589,0.043589115142822266,0.55,0.0
0.573,0.447,1.4066696166992188e-05,0.55,0.0
0.574,0.446,0.04396390914916992,0.55,0.0
0.574,0.446,8.106231689453125e-06,0.55,0.0
0.529,0.016,1.33514404296875e-05,0.55,-1.1
0.523,0.011,0.012416362762451172,0.55,-1.1
0.523,0.011,0.02002692222595215,0.55,-1.1
0.582,-0.469,1.1205673217773438e-05,0.55,0.0
0.582,-0.469,0.047968387603759766,0.55,0.0
0.587,-0.453,6.4373016357421875e-06,0.55,0.0
0.483,-0.079,1.049041748046875e-05,0.55,-1.1
0.483,-0.079,0.04402351379394531,0.55,-1.1
0.504,-0.057,1.52587890625e-05,0.55,-1.1
0.496,-0.078,0.043951988220214844,0.55,-1.1
0.594,0.059,6.9141387939453125e-06,0.55,-1.1
0.58,-0.441,7.152557373046875e-06,0.55,0.0
0.58,-0.441,0.04401564598083496,0.55,0.0
0.491,-0.601,1.0728836059570312e-05,0.55,0.0
0.515,-0.045,6.198883056640625e-06,0.55,1.1
0.515,-0.045,0.04401135444641113,0.55,1.1
0.539,0.008,1.1682510375976562e-05,0.55,1.1
0.539,0.008,5.245208740234375e-06,0.55,1.1
0.517,0.454,6.4373016357421875e-06,0.55,0.0
0.592,0.185,2.86102294921875e-06,0.55,0.0
0.479,0.364,0.04397916793823242,0.55,0.0
0.505,0.391,1.239776611328125e-05,0.55,0.0
0.458,0.508,0.012429952621459961,0.55,0.0
0.458,0.508,0.01995992660522461,0.55,0.0
0.522,0.012,7.62939453125e-06,0.6050000000000001,0.0
0.53,0.009,0.044005393981933594,0.6050000000000001,0.0
0.538,0.0,1.1920928955078125e-05,0.6050000000000001,0.0
0.53,0.001,0.04397082328796387,0.6050000000000001,0.0
0.53,0.001,7.152557373046875e-06,0.6050000000000001,0.0
0.547,-0.001,7.867813110351562e-06,0.6050000000000001,0.0
0.6,-0.003,7.3909759521484375e-06,0.6655000000000002,0.0
0.6,-0.003,0.04799389839172363,0.6655000000000002,0.0
0.573,-0.002,1.2874603271484375e-05,0.6655000000000002,0.0
0.657,-0.002,1.0728836059570312e-05,0.7320500000000003,0.0
0.656,-0.004,0.043939828872680664,0.7320500000000003,0.0
0.66,-0.002,8.344650268554688e-06,0.7320500000000003,0.0
0.72,-0.001,0.1640019416809082,0.8052550000000004,0.0
0.72,-0.001,1.049041748046875e-05,0.8052550000000004,0.0
0.72,-0.001,0.04806709289550781,0.8052550000000004,0.0
0.73,0.0,1.3828277587890625e-05,0.8052550000000004,0.0
0.762,-0.003,0.08789467811584473,0.8857805000000005,0.0
0.775,-0.004,8.58306884765625e-06,0.8857805000000005,0.0
0.786,-0.005,0.04401040077209473,0.8857805000000005,0.0
0.786,-0.005,8.344650268554688e-06,0.8857805000000005,0.0
0.785,-0.002,6.9141387939453125e-06,0.8857805000000005,0.0
0.785,-0.002,0.04397845268249512,0.8857805000000005,0.0
0.797,-0.003,1.0251998901367188e-05,0.8857805000000005,0.0
0.85,-0.01,0.07599616050720215,0.9743585500000007,0.0
0.855,-0.017,1.1444091796875e-05,0.9743585500000007,0.0
0.855,-0.017,0.04401755332946777,0.9743585500000007,0.0
0.884,-0.005,1.3589859008789062e-05,0.9743585500000007,0.0
0.958,-0.01,9.5367431640625e-06,0.9743585500000007,-1.9487171000000014
0.958,0.002,0.043982744216918945,0.9743585500000007,-1.9487171000000014
0.955,-0.004,9.059906005859375e-06,0.9743585500000007,-1.9487171000000014
0.97,-0.477,7.867813110351562e-06,0.9743585500000007,0.0
0.844,-0.693,7.3909759521484375e-06,0.9743585500000007,0.0
1.022,-0.494,0.043990135192871094,0.9743585500000007,0.0
1.123,-0.337,1.049041748046875e-05,0.9743585500000007,0.0
0.994,-0.567,0.008404731750488281,0.9743585500000007,0.0
0.994,-0.567,0.020019054412841797,0.9743585500000007,0.0
0.967,-0.008,8.58306884765625e-06,0.9743585500000007,1.9487171000000014
0.963,-0.007,0.04401063919067383,0.9743585500000007,1.9487171000000014
0.969,0.001,1.239776611328125e-05,0.9743585500000007,1.9487171000000014
0.969,0.001,4.76837158203125e-06,0.9743585500000007,1.9487171000000014
0.962,0.0,0.04398393630981445,0.9743585500000007,1.9487171000000014
0.962,0.016,1.71661376953125e-05,0.9743585500000007,1.9487171000000014
0.936,0.24,0.16399908065795898,0.9743585500000007,0.0
0.931,0.267,1.2874603271484375e-05,0.9743585500000007,0.0
0.92,0.304,0.04398036003112793,0.9743585500000007,0.0
0.92,0.304,1.049041748046875e-05,0.9743585500000007,0.0
0.931,0.389,0.04400801658630371,0.9743585500000007,0.0
0.95,0.408,8.58306884765625e-06,0.9743585500000007,0.0
0.918,0.043,7.867813110351562e-06,0.9743585500000007,1.9487171000000014
0.938,0.004,0.048003435134887695,0.9743585500000007,1.9487171000000014
0.887,0.065,9.775161743164062e-06,0.9743585500000007,1.9487171000000014
0.825,0.755,0.02002573013305664,0.9743585500000007,0.0
0.999,0.414,0.04356098175048828,0.9743585500000007,0.0
0.999,0.414,1.621246337890625e-05,0.9743585500000007,0.0
0.92,0.063,8.344650268554688e-06,0.9743585500000007,-1.9487171000000014
0.922,0.065,0.043981075286865234,0.9743585500000007,-1.9487171000000014
0.968,-0.017,9.059906005859375e-06,0.9743585500000007,-1.9487171000000014
0.968,-0.017,4.76837158203125e-06,0.9743585500000007,-1.9487171000000014
1.121,-0.282,2.6702880859375e-05,0.9743585500000007,0.0
1.075,-0.27,0.043906211853027344,0.9743585500000007,0.0
0.855,-0.616,1.0013580322265625e-05,0.9743585500000007,0.0
0.855,-0.616,0.04398679733276367,0.9743585500000007,0.0
0.877,-0.662,7.152557373046875e-06,0.9743585500000007,0.0
1.043,-0.433,8.821487426757812e-06,0.9743585500000007,0.0
0.969,0.01,9.059906005859375e-06,0.9743585500000007,1.9487171000000014
0.969,0.01,0.04401278495788574,0.9743585500000007,1.9487171000000014
0.965,0.002,8.58306884765625e-06,0.9743585500000007,1.9487171000000014
0.935,0.198,0.1759650707244873,0.9743585500000007,0.0
0.932,0.232,7.152557373046875e-06,0.9743585500000007,0.0
0.933,0.291,4.0531158447265625e-06,0.9743585500000007,0.0
0.933,0.291,0.04799771308898926,0.9743585500000007,0.0
0.942,0.353,9.059906005859375e-06,0.9743585500000007,0.0
0.966,0.372,0.008432626724243164,0.9743585500000007,0.0
0.956,-0.006,0.04361677169799805,0.9743585500000007,-1.9487171000000014
0.956,-0.006,2.1696090698242188e-05,0.9743585500000007,-1.9487171000000014
0.964,-0.518,1.1682510375976562e-05,0.0,-1.9487171000000014
1.003,-0.457,0.043967247009277344,0.0,-1.9487171000000014
0.922,-0.6,9.775161743164062e-06,0.0,-1.9487171000000014
0.922,-0.6,5.4836273193359375e-06,0.0,-1.9487171000000014
0.426,-0.528,5.9604644775390625e-06,0.9743585500000007,0.0
0.476,-0.485,0.04401683807373047,0.9743585500000007,0.0
0.478,-0.518,8.58306884765625e-06,0.9743585500000007,0.0
0.962,-0.026,6.9141387939453125e-06,0.9743585500000007,-1.9487171000000014
0.973,-0.015,0.04398393630981445,0.9743585500000007,-1.9487171000000014
0.973,-0.015,5.9604644775390625e-06,0.9743585500000007,-1.9487171000000014
0.863,-0.633,1.4543533325195312e-05,0.9743585500000007,0.0
0.859,-0.658,0.012427806854248047,0.9743585500000007,0.0
1.087,-0.324,0.019969463348388672,0.9743585500000007,0.0
1.047,-0.397,0.04356122016906738,0.9743585500000007,0.0
1.047,-0.397,9.5367431640625e-06,0.9743585500000007,0.0
0.961,-0.005,1.71661376953125e-05,0.9743585500000007,-1.9487171000000014
0.961,-0.005,0.04395461082458496,0.9743585500000007,-1.9487171000000014
0.946,-0.006,9.5367431640625e-06,0.9743585500000007,-1.9487171000000014
0.815,-0.691,7.3909759521484375e-06,0.0,0.0
0.979,-0.51,0.04398822784423828,0.0,0.0
1.211,-0.162,9.775161743164062e-06,0.0,0.0
0.901,-0.646,8.344650268554688e-06,0.9743585500000007,-1.9487171000000014
0.901,-0.646,0.0440366268157959,0.9743585500000007,-1.9487171000000014
0.875,-0.754,1.5497207641601562e-05,0.9743585500000007,-1.9487171000000014
1.171,-0.236,1.3589859008789062e-05,0.9743585500000007,-1.9487171000000014
0.861,-0.665,0.07635784149169922,0.0,-1.9487171000000014
0.916,-0.637,0.04756736755371094,0.0,-1.9487171000000014
0.82,-0.738,7.867813110351562e-06,0.0,-1.9487171000000014
0.744,-0.795,0.0880131721496582,0.0,0.0
0.962,-0.432,1.2159347534179688e-05,0.0,0.0
0.979,-0.445,0.043990373611450195,0.0,0.0
0.979,-0.445,7.867813110351562e-06,0.0,0.0
0.643,-0.456,5.4836273193359375e-06,0.9743585500000007,0.0
0.617,-0.499,0.04801130294799805,0.9743585500000007,0.0
0.617,-0.499,1.1205673217773438e-05,0.9743585500000007,0.0
0.974,-0.001,1.0013580322265625e-05,0.9743585500000007,-1.9487171000000014
0.975,0.005,0.04402613639831543,0.9743585500000007,-1.9487171000000014
0.975,0.005,8.58306884765625e-06,0.9743585500000007,-1.9487171000000014
0.949,-0.008,0.043959617614746094,0.9743585500000007,-1.9487171000000014
0.955,-0.011,7.62939453125e-06,0.9743585500000007,-1.9487171000000014
0.955,-0.011,3.814697265625e-06,0.9743585500000007,-1.9487171000000014
1.055,-0.35,8.821487426757812e-06,0.9743585500000007,-1.9487171000000014
1.055,-0.35,0.012408971786499023,0.9743585500000007,-1.9487171000000014
1.055,-0.35,0.02001333236694336,0.9743585500000007,-1.9487171000000014
1.082,-0.323,0.2600126266479492,0.9743585500000007,0.0
0.871,-0.643,0.04355025291442871,0.9743585500000007,0.0
0.847,-0.677,6.67572021484375e-06,0.9743585500000007,0.0
1.019,-0.419,0.04400515556335449,0.9743585500000007,0.0
1.229,-0.125,1.0728836059570312e-05,0.9743585500000007,0.0
0.982,-0.002,9.5367431640625e-06,0.9743585500000007,1.9487171000000014
0.982,-0.002,0.043973445892333984,0.9743585500000007,1.9487171000000014
0.968,-0.004,7.152557373046875e-06,0.9743585500000007,1.9487171000000014
0.932,0.541,1.1682510375976562e-05,0.9743585500000007,0.0
0.896,0.629,0.04797649383544922,0.9743585500000007,0.0
0.97,0.48,9.775161743164062e-06,0.9743585500000007,0.0
1.012,0.423,1.0728836059570312e-05,0.9743585500000007,0.0
0.963,-0.006,1.1682510375976562e-05,0.9743585500000007,-1.9487171000000014
0.95,0.0,4.5299530029296875e-06,0.9743585500000007,-1.9487171000000014
0.984,-0.006,0.043990373611450195,0.9743585500000007,-1.9487171000000014
0.966,-0.023,1.2159347534179688e-05,0.9743585500000007,-1.9487171000000014
0.966,-0.023,0.012385368347167969,0.9743585500000007,-1.9487171000000014
0.885,-0.355,0.2875690460205078,0.9743585500000007,0.0
0.96,-0.311,7.62939453125e-06,0.9743585500000007,0.0
0.96,-0.311,0.012436389923095703,0.9743585500000007,0.0
1.045,-0.238,0.020012378692626953,0.9743585500000007,0.0
0.945,-0.008,1.5020370483398438e-05,0.9743585500000007,1.9487171000000014
0.945,-0.008,0.043950557708740234,0.9743585500000007,1.9487171000000014
0.952,-0.01,1.1682510375976562e-05,0.9743585500000007,1.9487171000000014
0.904,0.374,0.2639482021331787,0.9743585500000007,0.0
0.916,0.428,1.049041748046875e-05,0.9743585500000007,0.0
0.929,0.45,0.04398918151855469,0.9743585500000007,0.0
0.925,0.395,8.58306884765625e-06,0.9743585500000007,0.0
0.955,-0.003,7.3909759521484375e-06,0.9743585500000007,-1.9487171000000014
0.958,0.001,0.0440211296081543,0.9743585500000007,-1.9487171000000014
0.961,0.006,7.867813110351562e-06,0.9743585500000007,-1.9487171000000014
0.961,0.006,0.043967247009277344,0.9743585500000007,-1.9487171000000014
0.954,0.0,8.58306884765625e-06,0.9743585500000007,-1.9487171000000014
0.954,0.0,4.291534423828125e-06,0.9743585500000007,-1.9487171000000014
0.925,-0.384,0.2520010471343994,0.9743585500000007,0.0
0.925,-0.384,8.106231689453125e-06,0.9743585500000007,0.0
0.885,-0.312,0.043973684310913086,0.9743585500000007,0.0
0.969,-0.234,8.821487426757812e-06,0.9743585500000007,0.0
0.955,-0.015,7.3909759521484375e-06,0.9743585500000007,1.9487171000000014
0.955,-0.015,0.044016122817993164,0.9743585500000007,1.9487171000000014
0.953,-0.02,8.106231689453125e-06,0.9743585500000007,1.9487171000000014
0.953,-0.019,0.04797959327697754,0.9743585500000007,1.9487171000000014
0.958,0.009,7.867813110351562e-06,0.9743585500000007,1.9487171000000014
0.958,0.009,8.58306884765625e-06,0.9743585500000007,1.9487171000000014
0.956,0.308,0.2079920768737793,0.9743585500000007,0.0
0.954,0.344,1.049041748046875e-05,0.9743585500000007,0.0
0.936,0.379,0.04398679733276367,0.9743585500000007,0.0
0.916,0.401,6.9141387939453125e-06,0.9743585500000007,0.0
0.956,-0.005,1.049041748046875e-05,0.9743585500000007,0.0
0.96,0.003,0.04810976982116699,0.9743585500000007,0.0
0.962,0.006,2.6702880859375e-05,0.9743585500000007,0.0
0.96,0.005,0.09187507629394531,0.9743585500000007,0.0
0.96,0.005,1.3589859008789062e-05,0.9743585500000007,0.0
0.957,-0.001,0.012414216995239258,0.9743585500000007,0.0
0.966,0.008,0.01998734474182129,0.9743585500000007,0.0
0.96,-0.001,0.047573089599609375,0.9743585500000007,0.0
0.963,0.003,1.1920928955078125e-05,0.9743585500000007,0.0
0.959,-0.004,0.1319890022277832,0.9743585500000007,0.0
0.958,0.0,1.049041748046875e-05,0.9743585500000007,0.0
0.958,0.0,0.04398632049560547,0.9743585500000007,0.0
