#diff_v,diff_w,# v_mps,w_radps,dt_s,cmd_v,cmd_w
0.046613349946541344,-0.058850767696714545,0.10973926089703095,-0.1607333713751058,0.05,1.0,-0.262250976696632
0.05494470162026141,-0.048917503082271496,0.16468396251729236,-0.2096508744573773,0.05,1.0,-0.2575298165829384
0.059480662439520465,-0.018836756146528022,0.22416462495681283,-0.2284876306039053,0.05,1.0,-0.2575298165829384
0.0530124472118188,-0.01152165693926488,0.27717707216863163,-0.2400092875431702,0.05,1.0,-0.24470154865114158
0.036079385869031366,-0.00020732953037866375,0.313256458037663,-0.24021661707354885,0.05,1.0,-0.2563019825491081
0.040788557694602434,-0.006523621770844756,0.35404501573226543,-0.2467402388443936,0.05,1.0,-0.2563936589357624
0.03647815713608099,-0.006215124257797078,0.3905231728683464,-0.2529553631021907,0.05,1.0,-0.2563936589357624
0.05940578391257756,0.012118768467317353,0.449928956780924,-0.24083659463487334,0.05,1.0,-0.21346144847113643
0.055516466006180154,0.01826646544992483,0.5054454227871041,-0.2225701291849485,0.05,1.0,-0.21535814190036703
0.061084029034989884,0.030440372786460057,0.566529451822094,-0.19212975639848845,0.05,1.0,-0.22183075341288064
0.0617197358992333,0.021152182741952658,0.6282491877213273,-0.1709775736565358,0.05,1.0,-0.22183075341288064
0.05135464614448737,-0.002571547749215003,0.6796038338658147,-0.1735491214057508,0.05,1.0,-0.21369798666696108
0.04795550269006932,-0.004874044005273442,0.727559336555884,-0.17842316541102424,0.05,1.0,-0.2190360935349762
0.029890617255427854,-0.024268767958068066,0.7574499538113119,-0.2026919333690923,0.05,1.0,-0.21927139193918566
0.042722644594179515,0.006320200145396332,0.8001725984054914,-0.19637173322369597,0.05,1.0,-0.21927139193918566
0.049404322607601636,0.008783004121122706,0.849576921013093,-0.18758872910257327,0.05,1.0,-0.21036390275501235
0.06082857246089224,0.027222288909474757,0.9104054934739853,-0.1603664401930985,0.05,0.9734115214788284,-0.15893803861881484
0.04690913508279804,0.017472814389953878,0.9573146285567833,-0.14289362580314463,0.05,0.899314638676423,-0.1429408938566295
0.021236490334754277,0.011477627590987305,0.9785511188915376,-0.13141599821215733,0.05,0.899314638676423,-0.1429408938566295
0.007179695276828046,0.019050424216902367,0.9857308141683656,-0.11236557399525496,0.05,0.9437723081679237,-0.15033482831797368
3.847987354843596e-05,0.02244206470884244,0.985769294041914,-0.08992350928641252,0.05,0.8356584511180963,-0.1316407737033722
-0.003373704334085903,0.021451139547829387,0.9823955897078281,-0.06847236973858313,0.05,0.8531808046544489,-0.13460637331054703
-0.011656677804627313,0.009975081784836928,0.9707389119032008,-0.0584972879537462,0.05,0.8531808046544489,-0.13460637331054703
-0.020091204409340424,0.015948554316017015,0.9506477074938604,-0.04254873363772919,0.05,0.8071089901276067,-0.12631346950849393
-0.018131973134323465,0.02314825491495915,0.9325157343595369,-0.019400478722770037,0.05,0.7605752402761591,-0.11996374911359742
-0.07188816163193923,-0.05632011739921926,0.8606275727275977,-0.0757205961219893,0.05,0.762700634270084,-0.12041201846334346
-0.060091791382597015,-0.033659719444110295,0.8005357813450007,-0.10938031556609959,0.05,0.762700634270084,-0.12041201846334346
-0.04546325889232117,-0.011940443173449306,0.7550725224526795,-0.1213207587395489,0.05,0.7667178640262698,-0.1226133156722046
-0.004020788038565759,0.04120997974324421,0.7510517344141138,-0.08011077899630469,0.05,0.7688111839418507,-0.12534607228421843
-0.005359624399454588,0.02007194582386377,0.7456921100146592,-0.060038833172440915,0.05,0.8339028584824978,-0.1328579303064329
0.011444579914658859,0.011798669638583927,0.757136689929318,-0.04824016353385699,0.05,0.8339028584824978,-0.1328579303064329
0.015937689829735313,-0.024528825014624278,0.7730743797590534,-0.07276898854848127,0.05,0.8848686742094789,-0.14969841456471975
0.05047930404686074,-0.005696408169078709,0.8235536838059141,-0.07846539671755998,0.05,0.9848009580025828,-0.16354611674542494
0.04957120741161514,-0.016081464684631175,0.8731248912175292,-0.09454686140219115,0.05,1.0,-0.25506333082358357
0.04581391421880843,-0.015887842937341523,0.9189388054363377,-0.11043470433953267,0.05,1.0,-0.25506333082358357
0.043241567011243154,-0.019423847233341646,0.9621803724475808,-0.12985855157287432,0.05,0.9538208960381724,-0.19044980537441028
0.02109130449035046,-0.036539505131658934,0.9832716769379313,-0.16639805670453325,0.05,1.0,-0.21210221774110075
0.028545160307690498,0.003196695550040596,1.0118168372456218,-0.16320136115449266,0.05,0.9902428421645599,-0.19161263962933273
0.014453601347733436,0.012509128743510262,1.0262704385933552,-0.1506922324109824,0.05,0.9902428421645599,-0.19161263962933273
0.012775540627702586,0.0231801754387711,1.0390459792210578,-0.1275120569722113,0.05,0.9907080966927885,-0.18944495480079349
0.00021883123373145352,0.002690242881491875,1.0392648104547892,-0.12482181409071942,0.05,0.9999999999999999,-0.20051189298520494
0.011744608384080424,0.018639571030446,1.0510094188388697,-0.10618224306027342,0.05,1.0,-0.19603260704256384
0.01686319646136414,0.025653939654922145,1.0678726153002338,-0.08052830340535128,0.05,1.0,-0.19603260704256384
0.011596651173258365,0.019562685783544025,1.0794692664734922,-0.06096561762180725,0.05,0.9866514572974295,-0.15388922496330742
-0.0038634692943533278,0.0020420179267651994,1.0756057971791388,-0.05892359969504205,0.05,0.8747017169821095,-0.14363379250785357
-0.019688801031531478,-0.00511963834226533,1.0559169961476074,-0.06404323803730738,0.05,0.8791335209209805,-0.1363816875193191
-0.020054989721607797,0.008041509336098478,1.0358620064259996,-0.056001728701208904,0.05,0.8791335209209805,-0.1363816875193191
-0.023484429152513364,0.015698635973025545,1.0123775772734862,-0.04030309272818336,0.05,0.787552785366532,-0.12030268410384984
-0.026041072748464456,0.026252630389003467,0.9863365045250218,-0.014050462339179892,0.05,1.0,-0.17395116424677098
-0.030525202436721965,0.0023117262850175964,0.9558113020882998,-0.011738736054162296,0.05,1.0,-0.20460856953907147
-0.031977741787451164,-0.021082195515876794,0.9238335603008486,-0.03282093157003909,0.05,1.0,-0.20460856953907147
-0.019746774280060886,-0.03936970922332413,0.9040867860207877,-0.07219064079336322,0.05,1.0,-0.22695349769801346
0.0037130632098715255,-0.03470542966895636,0.9077998492306593,-0.10689607046231958,0.05,1.0,-0.25099698277950383
0.00903443476366661,-0.042948310207374885,0.9168342839943259,-0.14984438066969447,0.05,1.0,-0.2509404187852892
0.02750186082816275,-0.02774886043089922,0.9443361448224886,-0.17759324110059369,0.05,1.0,-0.2509404187852892
0.038245358127979245,-0.008015418075659503,0.9825815029504679,-0.1856086591762532,0.05,0.9940100991739944,-0.17240779998082598
0.04032890102793574,0.024113581527063055,1.0229104039784036,-0.16149507764919013,0.05,1.0,-0.18871013446461127
0.01787670386005913,0.00195437449997804,1.0407871078384627,-0.1595407031492121,0.05,0.9999999999999999,-0.26099264765710417
0.022092759157139596,0.024800575686664272,1.0628798669956023,-0.13474012746254782,0.05,0.9999999999999999,-0.26099264765710417
0.013945408967586559,0.017671227560297195,1.0768252759631889,-0.11706889990225063,0.05,1.0,-0.16753888055966934
0.011265284090228977,0.024975420047242097,1.0880905600534179,-0.09209347985500853,0.05,0.9597827810216724,-0.1564892113345817
-0.012732662744070256,0.0016706453712633101,1.0753578973093476,-0.09042283448374522,0.05,0.9083102368348082,-0.1385655333200836
-0.013812458198649624,0.011860159488808905,1.061545439110698,-0.07856267499493631,0.05,0.9083102368348082,-0.1385655333200836
-0.02231911933674069,0.005830283903112479,1.0392263197739573,-0.07273239109182383,0.05,0.8710902136846649,-0.16445083066107555
-0.021697846285452238,0.018388492489800165,1.017528473488505,-0.05434389860202367,0.05,1.0,0.08551554087752407
-0.012476744265984996,0.02921683425886013,1.00505172922252,-0.02512706434316354,0.05,1.0,0.08551554087752407
-0.014848582804888988,0.027365459339408937,0.9902031464176311,0.0022383949962453964,0.05,0.9502897783261363,0.06963083198291128
-0.01802929848037771,0.021649110516729464,0.9721738479372534,0.02388750551297486,0.05,1.0,0.10666998098669452
-0.0377128857639466,-0.01635192083195137,0.9344609621733068,0.00753558468102349,0.05,1.0,0.1122451734023976
