#diff_v,diff_w,# v_mps,w_radps,dt_s,cmd_v,cmd_w
0.048047592474399825,-0.03583336831557325,0.13377177553939684,-0.15535479347955655,0.05,0.7536477600147801,-0.17623905534780634
0.050670509242227685,-0.00896549053960044,0.18444228478162453,-0.164320284019157,0.05,0.9039297406638076,-0.17431182952047544
0.047929819580619454,0.0024225707081696746,0.23237210436224398,-0.16189771331098732,0.05,0.9039297406638076,-0.17431182952047544
0.04457239968477056,0.009454100322395242,0.27694450404701454,-0.15244361298859208,0.05,0.9021018924754187,-0.15162777553223067
0.041855069799689504,0.007193925898354853,0.31879957384670404,-0.14524968709023722,0.05,0.8874489660278502,-0.1615199374700983
0.052122277115121074,0.0003354940573574994,0.3709218509618251,-0.14491419303287972,0.05,0.948746278061138,-0.16604517918455974
0.05217504408121154,-1.504017739017982e-06,0.42309689504303666,-0.14491569705061874,0.05,0.948746278061138,-0.16604517918455974
0.05006025607676684,-0.006240622266289214,0.4731571511198035,-0.15115631931690796,0.05,0.8630426431388312,-0.172142446265409
0.04693407448202791,-0.009563708345279504,0.5200912256018314,-0.16072002766218746,0.05,0.6232775892286594,-0.20264169215544794
0.047678342155177966,-0.015515411256370598,0.5677695677570094,-0.17623543891855806,0.05,0.7267091106155986,-0.19900642576600744
0.040970529792629495,-0.008693584333652749,0.6087400975496389,-0.1849290232522108,0.05,0.7267091106155986,-0.19900642576600744
0.04962768337435519,0.018060067961599785,0.6583677809239941,-0.16686895529061102,0.05,0.6759566210149,-0.2018917637601924
0.04664603843353621,0.028002716241800035,0.7050138193575303,-0.13886623904881099,0.05,0.6176950556475885,-0.2275299354253453
0.018258729270631213,0.008184546419314653,0.7232725486281615,-0.13068169262949633,0.05,0.5039148701111131,-0.21769007411027108
-0.03213526292750102,-0.039790511047272326,0.6911372857006605,-0.17047220367676866,0.05,0.5039148701111131,-0.21769007411027108
-0.05531533402314415,-0.029843165209894662,0.6358219516775163,-0.20031536888666332,0.05,0.4208943858612849,-0.21507987271267884
-0.10456192236702766,-0.06519346298313136,0.5312600293104887,-0.2655088318697947,0.05,0.3285379178826965,-0.2319243999920544
-0.05107464686848684,0.03551487011399487,0.4801853824420018,-0.2299939617557998,0.05,0.3541187790157059,-0.24605309635188222
-0.08218771144932585,-0.020330011811010767,0.39799767099267597,-0.2503239735668106,0.05,0.3541187790157059,-0.24605309635188222
-0.04368965039279993,0.014776191808668376,0.35430802059987604,-0.2355477817581422,0.05,0.3378967590260649,-0.2359319272211788
-0.041290702840303395,-0.005596372417319001,0.31301731775957264,-0.2411441541754612,0.05,0.3236493491503749,-0.2218680977791133
-0.008783431791836493,0.020428058922036307,0.30423388596773615,-0.2207160952534249,0.05,0.32230296373645706,-0.24415451258429066
-0.0029373954822344284,0.011177353182173444,0.3012964904855017,-0.20953874207125145,0.05,0.32230296373645706,-0.24415451258429066
0.005116499257476426,-0.0013150029344137781,0.30641298974297815,-0.21085374500566523,0.05,0.3047270560039984,-0.22181885262313947
-0.014736726484725238,-0.025511128072632977,0.2916762632582529,-0.2363648730782982,0.05,-0.3263004078231052,-0.11755560496779087
